PARAMETER	Apelsvoll winter  91/92 Gri	Fureneset winter  05/06 Gri	Holt  winter  05/06 Gri	Holt  winter  06/07 Gri	Kvithamar winter  06/07 Gri	Saerheim summer 00 Gri	Saerheim summer 01 Gri	Saerheim summer 02 Gri	Saerheim winter  05/20 Gri	Saerheim winter  06/07 Gri	Maaninka	Rovaniemi	Searheim TIMCOM	Quebec	Lacombe	Umea	Fredricton	Kungsangen	Lanna	Karlslund	Klevarp	Tonnersa
LFWIDV	0.00491875	0.00491875	0.00491875	0.00491875	0.00491875	0.00491875	0.00491875	0.00491875	0.00491875	0.00491875	0.007001	0.007001	0.007001	0.007001	0.007001	0.007001	0.007001	0.007001	0.007001	0.007001	0.007001	0.007001
NELLVM	2.09178	2.09178	2.09178	2.09178	2.09178	2.09178	2.09178	2.09178	2.09178	2.09178	2.172	2.172	2.172	2.172	2.172	2.172	2.172	2.172	2.172	2.172	2.172	2.172
PHENCR	0.495209	0.495209	0.495209	0.495209	0.495209	0.495209	0.495209	0.495209	0.495209	0.495209	0.4989	0.4989	0.4989	0.4989	0.4989	0.4989	0.4989	0.4989	0.4989	0.4989	0.4989	0.4989
PHY	63.0532	63.0532	63.0532	63.0532	63.0532	63.0532	63.0532	63.0532	63.0532	63.0532	45.09	45.09	45.09	45.09	45.09	45.09	45.09	45.09	45.09	45.09	45.09	45.09
RDRSCO	0.0712247	0.0712247	0.0712247	0.0712247	0.0712247	0.0712247	0.0712247	0.0712247	0.0712247	0.0712247	0.09563	0.09563	0.09563	0.09563	0.09563	0.09563	0.09563	0.09563	0.09563	0.09563	0.09563	0.09563
RDRSMX	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06343	0.06343	0.06343	0.06343	0.06343	0.06343	0.06343	0.06343	0.06343	0.06343	0.06343	0.06343
RDRTEM	0.00102573	0.00102573	0.00102573	0.00102573	0.00102573	0.00102573	0.00102573	0.00102573	0.00102573	0.00102573	0.0009367	0.0009367	0.0009367	0.0009367	0.0009367	0.0009367	0.0009367	0.0009367	0.0009367	0.0009367	0.0009367	0.0009367
RGENMX	0.0108797	0.0108797	0.0108797	0.0108797	0.0108797	0.0108797	0.0108797	0.0108797	0.0108797	0.0108797	0.01719	0.01719	0.01719	0.01719	0.01719	0.01719	0.01719	0.01719	0.01719	0.01719	0.01719	0.01719
ROOTDM	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	1.182	1.182	1.182	1.182	1.182	1.182	1.182	1.182	1.182	1.182	1.182	1.182
RRDMAX	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.012	0.0155	0.0155	0.0155	0.0155	0.0155	0.0155	0.0155	0.0155	0.0155	0.0155	0.0155	0.0155
RUBISC	5.7803	5.7803	5.7803	5.7803	5.7803	5.7803	5.7803	5.7803	5.7803	5.7803	4.553	4.553	4.553	4.553	4.553	4.553	4.553	4.553	4.553	4.553	4.553	4.553
SHAPE	0.538907	0.538907	0.538907	0.538907	0.538907	0.538907	0.538907	0.538907	0.538907	0.538907	0.8442	0.8442	0.8442	0.8442	0.8442	0.8442	0.8442	0.8442	0.8442	0.8442	0.8442	0.8442
SIMAX1T	0.00450449	0.00450449	0.00450449	0.00450449	0.00450449	0.00450449	0.00450449	0.00450449	0.00450449	0.00450449	0.005471	0.005471	0.005471	0.005471	0.005471	0.005471	0.005471	0.005471	0.005471	0.005471	0.005471	0.005471
SLAMAX	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.06	0.0781	0.0781	0.0781	0.0781	0.0781	0.0781	0.0781	0.0781	0.0781	0.0781	0.0781	0.0781
TBASE	3.61083	3.61083	3.61083	3.61083	3.61083	3.61083	3.61083	3.61083	3.61083	3.61083	2.766	2.766	2.766	2.766	2.766	2.766	2.766	2.766	2.766	2.766	2.766	2.766
TCRES	1.88986	1.88986	1.88986	1.88986	1.88986	1.88986	1.88986	1.88986	1.88986	1.88986	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639	2.639
TOPTGE	12.6178	12.6178	12.6178	12.6178	12.6178	12.6178	12.6178	12.6178	12.6178	12.6178	21.37	21.37	21.37	21.37	21.37	21.37	21.37	21.37	21.37	21.37	21.37	21.37
TRANCO	8	8	8	8	8	8	8	8	8	8	6.435	6.435	6.435	6.435	6.435	6.435	6.435	6.435	6.435	6.435	6.435	6.435
YG	0.841767	0.841767	0.841767	0.841767	0.841767	0.841767	0.841767	0.841767	0.841767	0.841767	0.8759	0.8759	0.8759	0.8759	0.8759	0.8759	0.8759	0.8759	0.8759	0.8759	0.8759	0.8759
